Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Georgia,GEO,309,63,1,2,40,35,36,0,9,22,1,4,0,31,0,27,5,1,1,0,7,0,1,0,1924,7064,30,29,285,12,13,62,310,708,921,492,532,30,9,1,3,92,3,183,1031,1,45,12,4,1695,12553,820,11974,93,1,4,0,14,56,7,2,2,78,102,2,1,0,1,0,30,0,10,81,12,2,7,2,1,1,1,5,2,6,11,26,6,775,6,0,2,47,19,0,70,0,435,6,27,0,4,1,5,565,312,118,43,1086,30177,814,71692,166,293,16,867,141,1662,318,703,2,3,102,12,6,15,3,2,39,30,2085,46,54,21,4322,358,155,7,394,58,31,11,100,7064,902,628973,70138,12630,2127,0,2590,211,211,255,133,95680,2865,6511,1513,71,305,17512,5073,5895,1281,753,107,0,53,207,1943,512,231,12,413,57,1101,4,722,6,18,10,54,108,226,79,295,23,3070,8,3,4,160,10,654,69,1,3,0,5,2,25,31,24,0,12,157,18,56,808,301,0,434,32,23,1,0,69,432,3,11,1,0,29,0,19,0,96
Kazakhstan,KAZ,437,124,5,7,141,125,128,0,33,77,1,12,0,111,0,94,19,5,3,0,24,0,5,0,6910,24877,71,104,1004,42,602,224,1094,2495,3255,1738,1872,107,33,6,9,324,12,647,2646,1,154,41,13,5938,43982,3979,12112,1,1,5,0,43,3,12,3,6,236,451,9,2,0,2,0,105,1,3,286,41,7,26,7,1,2,3,16,7,1,39,91,22,2730,21,1,7,166,67,1,247,0,1532,21,96,1,14,3,16,91,251,66,204,380,68558,1468,24418,229,605,20,317,93,162,523,805,6,10,219,42,22,14,5,8,136,27,1884,115,191,75,67,1846,264,26,3543,146,59,37,351,20338,6568,2584955,1369,6171,869,595,0,15940,744,897,20104,330191,229890,4996,5348,213,842,53326,15241,20760,3538,2583,371,0,160,623,5838,1413,808,42,1443,168,3879,13,2551,22,63,36,192,381,795,281,1044,82,10810,27,10,4,565,36,2313,243,3,12,0,17,8,74,109,83,1,42,556,62,197,2845,1061,0,1533,115,79,4,0,244,1526,10,38,3,0,103,2,68,0,340
Kyrgyzstan,KGZ,101,15,1,1,23,21,21,0,5,13,0,2,0,18,0,15,3,1,0,0,4,0,1,0,1124,4116,29,17,166,7,8,37,181,413,537,287,310,18,5,1,1,54,2,107,601,5,26,7,2,988,7318,632,2929,21,0,1,0,12,33,2,1,1,64,74,0,1,0,0,0,17,0,1,47,7,1,4,1,3,0,0,3,1,0,6,15,4,452,3,0,1,28,11,0,41,0,253,3,16,0,2,1,3,14,63,9,8,91,12937,229,216,14,67,2,19,0,44,132,130,1,2,14,7,4,2,1,1,22,4,268,22,32,12,7,152,57,4,108,27,10,6,58,5217,609,463521,27,0,49,189,5327,0,123,11384,78,39714,1669,1752,882,44,196,14373,3171,3435,826,444,63,0,33,130,1215,330,128,7,229,2,642,2,421,4,10,6,32,63,132,46,172,14,1789,4,2,2,93,6,381,40,1,2,0,3,1,17,18,14,0,7,92,10,33,471,175,0,253,19,13,1,0,40,252,2,6,0,0,17,0,11,0,56
"Moldova, Republic of",MDA,477,45,0,6,5,23,8,5,6,0,1,183,0,2,0,0,18,2,0,0,8,0,1,0,168,432,15,3,184,8,9,5,170,457,561,79,343,18,6,1,1,59,2,12,240,6,27,7,2,1072,7941,2487,20674,8,17,7,0,12,5,3,5,4,63,34,10,6,0,0,0,6,0,1,110,7,3,4,1,3,5,1,3,1,3,7,17,4,500,4,1,4,30,11,2,45,0,281,4,18,0,4,1,3,367,271,142,63,682,14845,525,6358,1033,4496,16,140,3040,2272,219,322,1,2,107,8,4,5,1,1,25,10,667,123,35,119,266,819,98,11,517,27679,23,4,64,6216,856,277527,30,0,2994,162,9531,136,0,164,86,222478,1849,2333,78,46,199,14305,3303,3805,835,487,37,0,35,135,1265,333,153,8,274,56,711,1,2971,7,207,41,152,356,140,108,1145,90,1982,7,8,14,36,8,537,46,116,8,0,19,7,21,466,16,0,8,104,11,36,522,306,3,288,24,23,1,0,45,493,74,15,1,2,34,0,13,0,62
Tajikistan,TJK,39,0,1,2,32,28,29,0,7,17,0,3,0,25,0,21,4,1,1,0,5,0,1,0,1525,5623,1,23,227,9,11,50,247,564,735,392,423,24,7,1,2,73,3,146,821,1,36,9,3,1353,10022,127,3429,5,0,1,0,13,45,3,3,2,78,138,0,1,0,1,0,24,0,1,65,9,2,6,2,4,1,1,4,2,0,9,20,5,617,5,0,1,38,15,0,56,0,346,5,22,0,3,1,4,18,21,13,16,25,16871,230,71,20,8,3,130,1,9,124,143,1,2,45,9,5,2,1,2,31,5,340,25,43,17,3,64,6,6,98,32,1,8,79,6428,520,383057,37,0,67,270,12561,15932,168,0,106,43634,265012,267,1208,55,233,17709,3928,4692,978,597,85,0,41,161,1505,390,186,10,332,55,877,3,576,5,14,8,43,86,180,63,236,19,2443,6,2,3,128,8,522,55,1,3,0,4,2,21,25,19,0,9,126,14,44,643,240,0,347,26,18,1,0,55,345,2,9,1,0,23,0,15,0,77
Turkmenistan,TKM,25,3,0,1,10,9,9,0,2,5,0,1,0,8,0,7,1,0,0,0,2,0,0,0,480,1770,2,7,71,3,3,16,78,177,231,123,133,8,2,1,1,23,1,46,258,2,11,3,1,425,3146,110,1109,14,0,0,0,9,14,2,1,3,54,97,0,0,0,0,0,7,0,0,20,3,1,2,1,1,0,0,1,1,0,3,6,2,194,1,0,0,12,5,0,18,0,109,1,7,0,1,0,1,7,0,5,20,235,7933,144,99,3,18,0,19,6,8,115,66,0,1,32,3,2,1,0,1,10,2,167,17,14,5,3,47,20,2,70,21,7,3,25,4411,377,175252,1428,0,21,189,831,53,53,64,0,33583,718,2034,379,622,154,12150,2156,1477,646,212,29,0,23,88,826,258,60,3,107,24,276,1,181,2,4,3,14,27,57,20,74,6,769,2,1,1,40,3,164,17,0,1,0,1,1,17,8,6,0,3,40,4,14,202,75,0,109,8,6,0,0,17,108,1,3,0,0,7,0,5,0,24
Ukraine,UKR,14062,863,1,50,48,203,72,43,53,0,16,1628,0,16,0,1,157,13,1,2,71,0,9,3,1557,3835,380,25,1631,68,76,51,1507,4054,4980,698,3042,164,54,16,12,526,16,103,2129,4,238,63,21,9507,70422,55374,291311,216,156,97,2,135,156,168,114,128,742,1050,139,150,0,5,0,151,5,10,973,66,26,32,67,129,43,7,26,12,57,64,150,36,4437,35,10,39,270,95,20,401,0,2489,34,155,2,37,6,26,3452,1481,1350,852,6540,136487,12546,16692,1494,12961,217,1473,10946,22915,2799,2896,31,16,746,68,174,32,10,6,220,65,4515,1664,311,1056,927,33303,23835,96,311667,9835,7535,789,25185,61607,20203,3559975,4510,11971,166312,9735,267400,18849,220639,1458,5338,0,16394,4179,696,444,1974,167302,31720,33737,8293,4380,336,0,334,1296,12150,3312,1277,66,2281,92,6303,12,26356,60,1836,367,1348,3157,1237,955,10157,801,17568,58,68,7,317,74,4760,408,1033,71,0,171,63,240,4138,139,2,71,924,101,320,4624,2712,25,2547,217,203,12,0,396,4374,659,132,5,18,300,7,114,0,552
Uzbekistan,UZB,416,64,3,5,92,81,83,0,21,50,1,8,0,72,0,61,13,3,2,0,16,0,3,0,4410,16158,108,66,652,27,30,143,711,1620,2113,1128,1216,69,21,7,6,210,8,420,2358,1,103,27,9,3889,28807,1590,25877,1,1,8,0,53,1,11,6,8,303,530,5,3,0,2,0,68,2,2,186,26,5,17,16,1,2,2,10,5,0,25,59,14,1773,14,1,4,108,43,1,160,0,995,13,62,1,9,2,11,60,125,83,51,249,56258,910,5226,101,1357,13,345,19,94,408,472,4,6,78,27,14,9,3,5,88,18,1261,153,124,48,20,178,77,17,584,193,21,26,228,41947,1640,918037,2001,5842,1102,1000,181183,248474,483,213493,94072,326577,0,7909,3471,193,886,68293,13774,13484,3722,1779,250,0,145,563,5276,1486,523,27,935,102,2519,8,1656,14,41,23,125,247,516,182,678,53,7022,18,6,4,367,23,1502,158,2,8,0,11,5,83,71,54,1,27,362,40,128,1848,689,0,998,74,52,5,0,158,991,6,25,2,0,67,2,44,0,221
Turkey,TUR,29821,397,6,5,104,92,94,4,24,57,28,18,1,81,0,71,14,4,2,0,18,0,4,5,5222,18380,915,78,741,31,34,170,809,1843,2388,1273,1383,79,24,34,7,239,9,474,128,24,105,28,9,4255,31519,17815,92427,241,6,31,0,45,35,108,11,15,1034,552,261,331,0,3,0,4,4,3,210,30,14,10,16,41,2,15,12,5,34,29,67,16,2017,16,1,18,123,49,1,182,0,1132,15,71,1,10,3,12,126089,70794,30175,2150,191894,1505696,57073,76575,569,8414,356,181865,106,986,34083,65021,48,887,8423,31,12,324,59,4422,100,647,45187,327,92574,55,173,222,696,19,951,2016,30,35,259,209,55,9504,3404,0,219,8112,37097,12453,550,663,347,16540,7453,0,3915,1712,1223,30600,18071,15338,5138,2087,289,0,79294,738,6922,2052,745,38,1331,868,2866,10,1867,16,46,27,141,282,587,205,765,60,7987,20,7,100,414,26,1695,180,2,9,0,13,6,19,80,61,1,31,409,46,145,2102,782,0,1127,84,59,4,0,180,1117,7,28,2,0,76,11,50,0,251
Bahrain,BHR,667,192,0,0,4,3,2,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,187,686,4,1,28,1,1,6,4035,69,35966,23,52,156,1,1,0,9,43,9,100,1,2,1,0,74,550,1375,2643,5,0,1,0,0,4,0,1,0,31,6,0,1,0,0,0,1,0,0,4,1,0,1,0,3,0,0,0,0,10,1,1,1,75,1,0,0,5,1,0,7,2,42,0,3,0,0,0,0,3,33,94,3,79,1230,4198,27,173,5,1,105,18,22,50,109,0,0,19,1,1,1,0,0,4,2,118,0,5,1,31,25,2,1,1,0,4,1,10,0,0,355,5,0,8,6,7,21,21,25,13,91,278,22,0,80,500,12,5748,573,2100,54230,1031,0,60,1020,2201,839,689,68,1231,428,2993,0,32,0,1,1,2,11,22,3,15,1,298,1,0,2,7,0,29,6,0,0,0,0,0,1,1,2,0,1,7,2,5,78,21,0,19,1,2,1,0,7,19,0,0,0,0,2,0,2,0,9
"Iran, Islamic Republic of",IRN,18789,1983,3,2,33,29,29,2,8,17,19,9,1,25,0,22,5,1,1,0,6,0,1,4,2721,5870,4348,39,237,10,11,88,719,588,4910,389,441,42,8,10,2,76,8,145,2047,8,40,11,4,1399,10365,75117,291625,167,19,103,0,57,19,116,35,58,325,101,84,91,0,1,0,26,1,17,64,10,10,13,22,61,1,1,4,2,33,10,21,5,644,5,0,20,39,15,0,58,6,361,5,23,0,3,1,4,11603,3968,11238,2095,19657,111982,42944,1296,428,7074,460,21469,181,3098,53241,6163,23,2,10733,10,5,42,8,2,32,84,5877,5,45,17,339,189,282,6,146,6,31,8,83,3,21,3033,16799,0,70,595,1417,175,175,212,111,5109,2378,12957,4109,0,797,51300,10353,4895,3348,272,1093,0,109,14537,3965,1337,5219,684,9325,152,25579,3,569,5,14,9,43,90,187,63,234,18,2549,6,2,30,126,8,518,58,1,3,0,4,2,6,24,20,0,10,125,15,46,671,245,0,345,26,18,13,0,57,340,2,9,1,0,24,3,16,32,80
Iraq,IRQ,24832,4848,4,2,38,33,33,4,9,20,27,12,1,28,0,26,5,1,1,0,6,0,1,5,1815,6646,48,26,268,11,12,59,298,667,931,441,500,28,9,12,2,87,3,164,598,9,39,10,3,1497,11090,26652,92258,40,6,33,0,9,10,15,5,13,368,114,24,6,0,1,0,2,1,2,72,11,7,7,4,15,1,1,4,2,3,10,23,6,730,6,0,5,44,17,0,66,0,409,5,26,0,4,1,4,3214,1044,17476,3209,3853,38245,32617,6942,538,4263,49,33748,55,1189,67645,4402,18,3,14692,11,6,32,6,2,36,64,4455,8,51,19,88,265,408,7,408,720,29,9,94,5,4,3437,44,0,79,54,68,199,199,240,125,1861,2695,8889,1443,413710,0,75300,54423,5547,19450,1428,1345,0,572,18218,20846,7768,6184,788,11049,1522,28989,3,645,6,16,10,49,102,212,71,266,21,2889,7,2,35,143,9,600,65,1,3,0,4,2,7,27,22,0,11,141,17,53,760,290,0,389,29,22,92,0,65,386,2,10,1,0,27,4,18,0,91
Israel,ISR,6574,546,2,2,33,29,29,1,8,18,7,5,0,26,0,22,4,1,1,0,6,0,1,1,1661,5778,361,25,233,10,11,54,520,579,3129,400,435,35,8,11,2,75,6,149,843,7,36,10,3,1378,10205,17392,122591,984,7,39,0,382,264,477,67,160,325,1421,526,268,0,4,0,21,6,2,66,9,73,101,13,552,1,9,4,2,86,10,23,5,634,5,0,2,39,15,0,57,7,356,5,22,0,3,1,4,1693,2853,1496,465,8187,15637,12064,678,292,2484,77,3944,97,1130,1803,2193,21,2,705,10,5,8,2,2,31,15,1067,10,44,17,108,141,555,6,397,12,43,8,81,1224,27,2988,38,0,69,1271,59,173,173,208,109,1920,2343,2720,1229,837,5100,0,59773,4822,21432,567467,224,0,629,2443,22895,8560,402,20,719,1115,901,3,586,5,14,8,44,89,185,65,240,19,2511,6,2,31,130,8,532,57,1,3,0,4,2,6,25,19,0,10,128,14,46,661,246,0,354,26,18,1,0,57,351,2,9,1,0,24,3,16,0,79
Jordan,JOR,3332,216,1,1,24,21,21,0,5,12,3,3,0,18,0,15,3,1,1,0,4,0,1,1,1155,4175,89,17,168,7,8,38,205,419,742,280,314,18,6,8,2,54,2,104,609,5,26,7,2,962,7125,5201,49441,43,3,15,0,80,84,235,13,23,232,73,93,10,0,1,0,13,1,2,46,7,1,46,12,84,0,0,3,1,17,7,15,4,458,4,0,2,28,11,0,41,0,257,3,16,0,2,1,3,432,467,996,140,901,8617,3214,823,150,245,7,820,12,1489,1312,416,12,2,135,7,4,3,1,1,23,6,386,3,32,12,125,102,150,4,161,4,26,6,59,2,9,2159,28,0,50,34,43,125,125,151,79,1182,1693,898,319,679,3831,155,0,3484,16100,319367,10131,0,132332,12141,18571,6430,4450,525,7950,3788,18208,2,409,4,10,6,31,64,133,45,169,13,1814,5,2,22,91,6,373,41,1,2,0,3,1,4,17,14,0,7,90,10,33,478,176,0,247,18,13,9,0,41,245,2,6,0,0,17,2,11,0,57
Kuwait,KWT,2436,453,1,0,15,13,9,0,3,4,3,1,0,5,0,5,2,0,0,0,3,0,0,1,724,2659,16,5,107,4,5,24,111,267,397,89,200,6,4,2,1,35,1,35,7297,3,37,10,3,655,4851,9686,21800,8,2,9,0,12,4,41,4,5,122,22,10,3,0,0,0,5,0,0,14,4,1,3,1,5,0,0,1,0,1,4,4,2,292,2,0,1,18,3,0,26,1,164,1,10,0,1,0,2,9,92,1121,73,703,3702,5922,150,250,39,7,1407,12,256,971,253,0,1,188,4,2,2,0,1,15,4,290,2,20,5,66,55,85,3,139,2,29,4,38,1,3,1376,18,0,32,22,27,80,80,96,50,355,1079,286,457,461,2853,46,32922,0,11990,210594,4037,0,105118,4398,12610,4789,2811,269,5023,2352,11607,1,123,1,3,4,9,41,85,14,58,5,1157,3,0,7,27,2,117,23,0,1,0,1,1,3,5,8,0,4,27,7,21,304,85,0,74,6,6,35,0,26,74,0,2,0,0,9,1,6,0,36
Lebanon,LBN,71349,411,6,1,21,18,18,8,5,11,65,24,2,16,0,18,3,1,1,0,4,1,1,13,1010,3684,42,14,149,6,7,33,158,369,457,244,277,15,5,7,1,48,2,91,538,5,22,6,2,839,6217,68876,111142,1138,10,51,2,1687,63,6094,46,193,1619,12847,230,428,0,23,2,553,38,31,40,6,14,12,1,341,5,0,6,3,335,17,36,3,404,9,0,2,25,9,0,37,2,227,8,14,0,1030,1,2,1207,3293,12148,296,36718,20390,10663,2230,169,3716,97,3111,59,2053,20811,4329,26,1,1349,6,3,17,3,1,20,34,2344,12,28,11,779,207,148,4,347,721,39,5,52,1018,105,1905,1965,0,44,30,38,110,110,133,69,1392,1494,1132,224,118,666,2281,8398,3074,0,13519,691,0,44671,9207,3217,1117,3776,454,6747,2592,16066,2,357,3,9,5,27,56,118,39,147,12,1601,4,1,19,83,48,3133,75,1,2,0,2,1,620,5315,26,0,13,131,1549,29,421,2934,0,362,9206,220,127,0,36,247,1,5,1,0,747,1064,21,0,806
"Palestinian Territory, Occupied ",PSE,2684,123,1,2,35,31,30,0,8,18,3,4,0,26,0,22,5,1,1,0,6,0,1,1,1653,6095,0,24,246,10,11,54,264,611,767,410,459,25,8,11,2,79,3,153,890,8,37,10,3,1410,10443,5637,608,47,0,2,0,169,47,378,49,34,339,106,745,13,0,2,0,25,3,3,67,10,2,171,2,111,1,1,4,2,88,10,23,5,669,6,0,2,41,16,0,61,1,375,5,23,0,3,1,4,361,53,0,0,819,11263,2616,401,2,209,11,376,6,337,1508,428,1,2,52,10,5,3,1,2,33,5,353,2,47,18,102,76,0,6,3,3,0,8,86,1,0,3152,40,0,73,50,62,182,182,220,115,1733,2472,739,202,1057,6449,227,75503,5087,27099,0,1298,0,94617,630725,28920,10823,14213,1143,25393,44206,26585,3,600,5,15,9,45,93,195,66,247,19,2649,7,2,32,133,9,571,59,1,3,0,4,2,6,26,20,0,10,131,15,48,697,281,0,362,27,21,162,0,60,359,2,9,1,0,25,4,17,0,83
Oman,OMN,366,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,99,10,0,4,0,0,1,3,10,6,3,7,0,0,0,0,1,0,1,14,0,0,0,0,11,80,575,1340,1,0,1,0,1,1,1,1,2,5,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,1,6,19,2,33,437,2028,3,21,2,1,354,22,18,15,25,0,0,16,0,0,0,0,0,1,1,57,0,1,0,18,0,2,0,4,0,2,0,1,0,0,51,1,0,1,1,1,3,3,4,2,13,40,26,587,12,76,2,886,83,321,7841,0,0,9,151,339,128,185,14,330,488,433,0,5,0,0,0,0,2,3,1,2,0,43,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,3,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1
Qatar,QAT,261,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,89,8,0,4,0,0,1,3,9,5,3,7,0,0,0,0,1,0,1,13,0,0,0,0,10,72,1115,1819,1,0,1,0,0,1,1,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,1,8,41,5,211,291,1065,12,58,45,0,34,4,19,37,18,0,0,21,0,0,0,0,0,0,1,36,0,1,0,4,27,4,0,6,0,4,0,1,0,0,46,1,0,1,1,1,3,3,3,2,12,36,33,172,11,67,2,769,75,281,7065,134,0,8,134,295,112,143,11,255,321,390,0,4,0,0,0,0,1,3,0,2,0,39,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10,5,0,2,0,0,12,0,1,2,0,0,0,0,0,0,0,0,1
Saudi Arabia,SAU,1631,258,0,0,8,7,4,0,2,2,2,1,0,3,0,2,1,0,0,0,1,0,0,0,393,1343,112,3,54,2,3,13,463,135,3840,45,101,19,2,1,0,17,5,18,5373,2,26,7,2,417,3089,10275,27544,116,2,11,0,58,16,1173,6,29,62,11,19,8,0,1,0,11,2,1,7,2,18,1,2,37,0,0,0,0,11,2,3,1,148,1,0,5,9,2,0,13,4,83,1,5,0,1,0,1,239,173,193,201,1484,3154,8821,461,467,71,7,935,37,254,928,500,0,1,230,2,1,2,1,0,7,5,347,1,10,3,66,17,33,1,25,1,6,2,19,0,6,695,9,0,16,11,14,40,40,48,25,179,545,4395,5330,171,1063,23,12241,1122,4469,106230,2023,0,0,2038,4689,1785,2197,174,3925,5083,5861,0,62,1,2,2,5,21,43,7,29,2,584,1,0,4,16,2,110,35,0,0,0,0,0,1,3,12,0,6,45,3,11,154,93,0,123,3,7,326,0,13,38,0,1,0,0,5,0,10,1262,18
Syrian Arab Republic,SYR,6710,243,1,1,15,13,13,1,3,8,6,3,0,11,0,10,2,1,0,0,2,0,1,1,724,2577,98,10,104,4,5,24,112,258,325,173,194,11,3,5,1,34,1,65,376,3,16,4,1,597,4420,16041,56167,317,4,20,2,178,19,12321,13,70,2350,2625,337,320,0,18,1,42,29,2,28,4,44,5,3,163,16,0,2,1,35,4,10,2,283,2,0,4,17,7,0,26,0,159,2,10,0,1,0,2,1695,2194,1402,192,13329,12513,4295,6052,141,2535,35,4961,35,3371,15692,1694,16,1,874,4,2,10,2,1,14,19,1357,27,20,8,921,437,689,3,594,5202,107,4,36,17,9,1333,5612,0,31,21,26,77,77,93,49,1772,1045,5361,1035,233,1400,10519,16655,2151,5885,30162,511,0,109048,0,6379,2350,3454,359,6170,5881,11239,1,254,2,6,4,19,39,82,28,104,8,1120,3,1,14,56,9,551,25,0,1,0,2,1,3,11,9,0,4,56,6,20,295,427,0,153,12,32,149,0,25,156,1,4,0,0,1835,2,7,0,35
United Arab Emirates,ARE,1459,411,0,0,4,3,2,0,1,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,188,681,13,1,28,1,1,6,22,68,40,23,51,1,1,1,0,9,0,9,14385,1,61,16,5,811,6006,6685,7508,20,1,4,0,1,1,4,1,2,31,6,6,0,1,0,0,1,0,0,4,1,0,1,0,4,0,0,0,0,0,1,1,1,75,1,0,0,5,1,0,7,1,42,0,3,0,0,0,0,5,94,221,36,503,1621,5422,79,200,4,10,379,10,90,421,169,0,0,108,1,1,1,0,0,4,3,179,1,5,1,43,31,44,1,84,1,12,1,10,1,15,353,5,0,8,6,7,20,20,25,13,91,276,45,538,81,485,12,5761,569,2036,53883,1027,0,61,1017,0,813,703,68,1257,519,2974,0,31,0,1,1,2,10,22,3,15,1,296,1,0,2,10,1,41,38,0,0,0,0,0,1,1,13,0,7,50,2,5,78,33,0,139,1,2,75,0,7,19,0,0,0,0,2,0,11,1767,9
Yemen,YEM,376,66,1,1,20,18,18,0,5,10,0,2,0,15,0,13,3,1,0,0,3,0,1,0,964,3537,19,14,143,6,7,31,152,355,438,234,266,14,5,6,1,46,2,87,516,5,21,6,2,805,5963,1061,20813,2,1,6,0,2,5,4,1,2,196,61,4,1,0,0,0,14,0,1,38,6,1,4,12,3,0,0,2,1,1,6,12,3,388,3,0,4,24,9,0,35,1,218,3,14,0,2,0,2,61,26,138,23,1806,8063,12599,28,47,111,1,371,3,15,202,296,1,1,58,6,3,3,1,1,19,7,456,2,27,10,5,110,133,4,96,3,17,5,50,1,1,1829,23,0,42,29,36,106,106,128,67,989,1434,69,1118,604,3695,36000,43124,2952,15529,8581,750,0,360438,10265,16518,0,3986,453,7121,4294,15425,2,343,3,8,5,26,54,113,38,141,11,1537,4,1,18,79,5,312,61,1,2,0,2,1,4,15,21,0,11,111,9,28,405,148,0,306,15,11,7,0,35,205,1,5,1,0,14,2,17,1467,48
Morocco,MAR,1173,144,0,0,9,77,28,0,20,0,1,0,0,6,0,0,17,1,1,0,0,0,1,0,227,1,195,4,622,26,29,7,592,1545,2267,60,1160,58,20,12,2,201,6,39,6793,20,108,29,9,3617,26792,26050,47185,156,4,21,9,69,19,845,2,22,774,448,87,51,0,3,0,11,4,1,13,25,4,5,4,46,3,3,9,4,10,24,51,14,1691,13,2,8,103,12,0,153,0,949,12,59,1,0,2,10,1739,116872,4905,1035,759011,294032,16897,818,326,188104,610,155819,1354,313739,5150,14585,123,6,4222,618,14,258,1107,5,84,515,35930,5,118,61,19,119,49,16,167,6,10,6,217,3,0,7969,102,0,184,126,157,461,461,556,291,4150,6249,470,2222,382,2117,165200,27294,12860,8898,716,2851,0,16039,36785,10455,3554,0,7265,26502,604,67207,80,5326,43,370,633,355,1496,509,532,2588,204,35008,17,18,22,582,161,10403,764,218,21,20,292,97,300,21767,261,46,132,1169,4170,384,21667,9175,175,3224,398,687,365,0,151,5347,18,119,9,29,4315,11,213,0,1358
Tunisia,TUN,423,48,0,0,2,18,6,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,74,0,128,1,145,6,7,2,240,361,1436,14,271,17,5,3,0,47,3,9,1586,5,25,7,2,844,6250,5551,8458,18,1,4,4,8,4,8,5,5,181,105,18,8,0,0,0,3,1,0,3,6,1,2,5,3,1,1,2,1,4,6,12,3,395,3,0,2,24,3,0,36,0,222,3,14,0,0,0,2,2311,7995,729,300,364498,61508,4159,297,126,5384,250,3885,53,1245,2978,6978,20,1,623,6,3,63,12,1,20,127,8851,2,28,14,11,157,39,4,135,3,16,1,51,1,2,1860,24,0,43,29,37,108,108,130,68,968,1459,509,674,64,340,9949,4603,3002,1428,4905,661,0,9545,8509,1763,570,3210,0,5735,557,15689,19,1243,10,86,148,83,349,119,124,604,48,8167,4,4,5,136,37,2371,178,51,5,1,68,23,70,5081,61,11,31,273,973,90,5058,2087,41,752,93,156,263,0,35,1248,4,28,2,7,495,3,50,0,317
Algeria,DZA,980,130,0,0,7,62,22,0,16,0,1,0,0,5,0,0,13,1,1,0,0,0,0,0,167,1,98,3,500,21,23,5,684,1242,3682,48,932,55,16,9,2,161,7,32,5458,16,87,23,8,2904,21507,20894,16879,88,2,11,30,23,17,82,8,18,622,360,46,15,0,2,0,9,2,1,10,20,3,5,42,12,3,2,7,3,30,19,41,11,1359,10,2,6,83,10,0,123,0,762,9,48,0,0,2,8,1299,14967,886,448,1333587,218127,14477,330,918,15576,385,3954,189,28835,1834,10505,43,5,846,21,11,226,41,4,67,451,31464,7,95,49,11,327,429,13,464,9,24,5,175,4,5,6403,82,0,148,101,126,370,370,447,233,3332,5021,648,2170,147,702,31751,10491,10333,2950,275,2262,0,110,29062,4018,1178,13506,13738,0,619,53998,64,4276,35,297,509,285,1202,409,427,2078,164,28103,13,14,5819,477,129,8346,718,176,17,7,235,78,241,17489,245,37,124,1081,3350,308,17409,7368,141,2981,320,551,1729,0,437,4296,14,95,8,23,1705,9,200,0,1091
